Index,DrugName,Prescribed_for,User_Rating,Count_of_Reviews
38,Acetaminophen / hydrocodone,['Pain' 'Back Pain' 'Rheumatoid Arthritis' 'Cough'],8.117647058823529,5433
39,Acetaminophen / oxycodone,['Chronic Pain' 'Pain'],8.686274509803921,4176
40,Acetaminophen / pamabrom,['Back Pain'],7.5,57
41,Acetaminophen / phenylephrine,['Sinus Symptoms'],4.0,0
42,Acetaminophen / phenyltoloxamine,['Headache' 'Pain'],9.8,55
43,Acetaminophen / propoxyphene,['Pain'],8.235294117647058,350
44,Acetaminophen / tramadol,['Pain'],7.857142857142857,460
45,Acetazolamide,"['Glaucoma' 'Hypokalemic Periodic Paralysis' 'Pseudotumor Cerebri' 'Edema'
 'Mountain Sickness / Altitude Sickness']",6.8076923076923075,404
46,Acetic acid / hydrocortisone,['Otitis Externa'],8.0,14
47,Acetylcysteine,['Expectoration'],5.5,18
48,Acidophilus,['Vaginal Yeast Infection'],10.0,115
49,Aciphex,"['GERD' 'Stomach Ulce' 'Erosive Esophagitis' ""Barrett's Esophagus""]",9.6,253
50,Acitretin,['Psoriasis'],8.0,0
51,Aclidinium,['COPD'],8.0,27
52,Acnex,['Acne'],10.0,5
53,Acrivastine / pseudoephedrine,['Allergic Rhinitis'],10.0,5
54,Actemra,['Rheumatoid Arthritis' 'Juvenile Idiopathic Arthritis'],8.0,273
55,Actifed,['Allergic Rhinitis'],7.0,8
56,Actiq,['Pain' 'Breakthrough Pain'],9.666666666666666,188
57,Activella,['Postmenopausal Symptoms'],8.333333333333334,70
58,ActoPlus Met,"['Diabetes, Type 2']",10.0,21
59,Actonel,['Osteoporosis'],5.0,318
60,Actos,"['Diabetes, Type 2']",5.857142857142857,209
61,Acular LS,['Corneal Refractive Surgery'],9.0,14
62,Acuvail,['Postoperative Ocular Inflammation'],9.0,0
63,Acyclovir,"['Cold Sores' 'Mononucleosis' 'Herpes Zoste' 'Herpes Simplex'
 'Herpes Simplex, Suppression']",7.948717948717949,563
64,Aczone,['Acne'],7.358974358974359,865
65,Adalat CC,['High Blood Pressure'],7.0,57
66,Adalimumab,"[""Crohn's Disease, Maintenance"" 'Psoriasis' 'Psoriatic Arthritis'
 'Rheumatoid Arthritis' 'Hidradenitis Suppurativa' ""Crohn's Disease""
 'Ankylosing Spondylitis' 'Plaque Psoriasis' 'Spondyloarthritis'
 'Ulcerative Colitis' ""Crohn's Disease, Acute""]",6.839080459770115,2635
67,Adapalene,['Acne'],6.629032258064516,1308
68,Adapalene / benzoyl peroxide,['Acne'],7.246666666666667,1726
69,Adcirca,['Pulmonary Hypertension'],4.5,31
70,Adderall,['ADHD' 'Narcolepsy'],8.0,3132
71,Adderall XR,['Narcolepsy' 'ADHD'],8.771428571428572,972
72,Addyi,['Hypoactive Sexual Desire Disorde'],10.0,57
73,Adenosine,['Supraventricular Tachycardia'],9.0,30
74,Adipex-P,['Weight Loss' 'Obesity'],8.867256637168142,7079
75,Adipost,['Obesity'],9.0,100
76,Adoxa,['Acne'],9.0,5
77,Advair Diskus,"['COPD, Maintenance' 'Asthma, Maintenance']",6.764705882352941,286
78,Advair HFA,"['Asthma, Maintenance' 'COPD, Maintenance']",9.0,2
79,Advicor,['High Cholesterol'],10.0,14
80,Advil,"['Pain' 'Sciatica' 'Muscle Pain' 'Headache' 'Gout, Acute']",7.428571428571429,161
81,Advil Cold and Sinus,['Sinus Symptoms'],7.0,17
82,Advil Cold and Sinus Liqui-Gels,['Sinus Symptoms'],10.0,2
83,Advil Liqui-Gels,['Pain' 'Rheumatoid Arthritis'],10.0,69
84,Adzenys XR-ODT,['ADHD'],4.0,28
85,Aerobid,['Asthma'],10.0,11
86,Afinitor,['Breast Cance'],9.0,32
87,Aflibercept,['Diabetic Macular Edema' 'Macular Degeneration'],9.25,210
88,Afrezza,"['Diabetes, Type 1' 'Diabetes, Type 2']",7.25,264
89,Afrin,['Nasal Congestion'],4.153846153846154,64
90,Afrin 4 Hour Extra Moisturizing,['Nasal Congestion'],8.0,2
91,Aftera,['Emergency Contraception'],7.8,90
92,Aggrenox,"['Ischemic Stroke, Prophylaxis']",1.0,44
93,Alahist LQ,['Allergic Rhinitis'],10.0,2
94,Alavert D-12 Hour Allergy and Sinus,['Allergic Rhinitis'],1.0,0
95,Albendazole,['Pinworm Infection (Enterobius vermicularis)'],8.0,8
96,Albenza,['Pinworm Infection (Enterobius vermicularis)'],8.0,28
97,Albiglutide,"['Diabetes, Type 2']",7.0,6
98,Albuterol,"['Asthma, acute' 'COPD, Maintenance' 'Asthma, Maintenance'
 'Bronchospasm Prophylaxis' 'COPD, Acute']",4.35,246
99,Albuterol / ipratropium,"['COPD, Maintenance']",7.5,36
100,Alcaftadine,"['Conjunctivitis, Allergic']",3.5,131
101,Alclometasone,['Atopic Dermatitis'],9.0,3
102,Aldactazide,['Edema'],9.0,29
103,Aldactone,['Acne' 'Heart Failure'],10.0,92
104,Aldara,['Keratosis' 'Basal Cell Carcinoma' 'Human Papilloma Virus'],8.714285714285714,172
105,Aldesleukin,['Renal Cell Carcinoma'],10.0,13
106,Alendronate,['Prevention of Osteoporosis' 'Osteoporosis'],1.8571428571428572,363
107,Alesse,['Birth Control' 'Abnormal Uterine Bleeding'],6.03125,285
108,Aleve,"['Gout, Acute' 'Sciatica' 'Pain' 'zen Shoulde' 'Muscle Pain'
 'Juvenile Rheumatoid Arthritis' 'Back Pain' 'Tendonitis' 'Period Pain'
 'Rheumatoid Arthritis']",4.65,612
109,Alfuzosin,['Benign Prostatic Hyperplasia'],6.6,320
110,Alirocumab,"['High Cholesterol' 'High Cholesterol, Familial Heterozygous']",5.5,88
111,Aliskiren,['High Blood Pressure'],6.833333333333333,115
112,Aliskiren / hydrochlorothiazide,['High Blood Pressure'],10.0,44
113,Alka-Seltzer Plus Cold,['Cold Symptoms'],5.0,2
114,Allegra,['Allergic Rhinitis' 'Urticaria'],6.866666666666666,281
115,Allegra Allergy,['Allergic Rhinitis'],1.0,2
116,Allegra-D 12 Hour,['Allergic Rhinitis'],9.0,8
117,Allegra-D 24 Hour,['Allergic Rhinitis'],6.0,31
118,Allergy DN PE,['Rhinitis'],10.0,4
119,Allerx Dose Pack DF,['Rhinitis'],9.0,8
120,Alli,['Obesity'],5.6,766
121,Allopurinol,['Gout' 'Urinary Tract Stones'],7.777777777777778,255
122,Almotriptan,['Migraine'],9.0,65
123,Alosetron,['Irritable Bowel Syndrome'],9.333333333333334,44
124,Alpha 1-proteinase inhibitor,['Alpha-1 Proteinase Inhibitor Deficiency'],10.0,11
125,Alphagan P,"['Glaucoma, Open Angle']",1.5,57
126,Alprazolam,"['Anxiety' 'Panic Disorde' 'Tinnitus' 'Depression' 'Dysautonomia'
 'Borderline Personality Disorde']",8.876712328767123,7738
127,Alprazolam Intensol,['Panic Disorde'],9.0,59
128,Alprostadil,['Erectile Dysfunction'],7.45,821
129,Alrex,['Postoperative Ocular Inflammation' 'Conjunctivitis'],5.0,17
130,Altabax,['Acne' 'Impetig'],9.0,19
131,Altace,['High Blood Pressure' 'Heart Attack'],9.333333333333334,208
132,Altavera,['Birth Control'],3.0,2
133,Aluminum chloride hexahydrate,['Hyperhidrosis'],9.017699115044248,985
134,Aluminum hydroxide / magnesium hydroxide / simethicone,['GERD'],10.0,16
135,Alvesco,"['Asthma, Maintenance' 'Asthma']",9.5,52
136,AmLactin,['Dry Skin'],10.0,37
137,Amantadine,"[""Parkinson's Disease"" 'Multiple Sclerosis' 'Chronic Fatigue Syndrome'
 'Head Injury']",7.25,46
138,Amaryl,"['Diabetes, Type 2']",7.6,367
139,Ambien,['Insomnia'],7.568421052631579,2904
140,Ambien CR,['Insomnia'],6.357142857142857,299
141,Ambrisentan,['Pulmonary Hypertension'],8.0,66
142,Amcinonide,['Dermatitis'],10.0,0
143,Amerge,['Migraine'],8.5,78
144,Amethia,['Birth Control'],5.666666666666667,6
145,Amethia Lo,['Birth Control'],8.5,4
146,Amethyst,['Birth Control'],2.0,2
147,Amikacin,['Cystic Fibrosis'],1.0,5
148,Amiodarone,['Arrhythmia' 'Ventricular Fibrillation'],6.0,341
149,Amitiza,"['Irritable Bowel Syndrome' 'Constipation, Chronic'
 'Constipation, Drug Induced' 'Constipation']",6.921052631578948,1439
150,Amitriptyline,"['Migraine Prevention' 'ibromyalgia' 'Anxiety and Stress' 'Pain'
 'Hyperhidrosis' 'Cyclic Vomiting Syndrome' 'Insomnia'
 'Irritable Bowel Syndrome' 'Depression' 'Cough'
 'Post Traumatic Stress Disorde' 'Somat' 'Interstitial Cystitis'
 'Reflex Sympathetic Dystrophy Syndrome' 'Vulvodynia' 'm Pain Disorde'
 'Chronic Myofascial Pain' 'Pudendal Neuralgia']",7.776785714285714,12523
151,Amitriptyline / chlordiazepoxide,['Depression'],9.0,20
152,Amitriptyline / perphenazine,['Anxiety' 'Depression'],9.5,24
153,Amlodipine,['High Blood Pressure' 'Migraine Prevention'],4.514285714285714,4669
154,Amlodipine / atorvastatin,['High Blood Pressure'],5.5,21
155,Amlodipine / benazepril,['High Blood Pressure'],7.25,115
156,Amlodipine / hydrochlorothiazide / olmesartan,['High Blood Pressure'],6.75,84
157,Amlodipine / olmesartan,['High Blood Pressure'],8.421052631578947,354
158,Amlodipine / telmisartan,['High Blood Pressure'],9.5,34
159,Amlodipine / valsartan,['ge (amlodipine / valsartan)' 'High Blood Pressure'],5.714285714285714,177
160,Ammonium lactate,['Dry Skin' 'Ichthyosis'],7.666666666666667,110
161,Ammonium lactate / halobetasol,['Psoriasis'],10.0,0
162,Amnesteem,['Acne'],7.0,30
163,Amoxapine,['Depression'],9.5,60
164,Amoxicillin,"['Bronchitis' 'Dental Abscess' 'Upper Respiratory Tract Infection'
 'Bacterial Infection' 'Urinary Tract Infection' 'Sinusitis'
 'Bacterial Endocarditis Prevention' 'Tonsillitis/Pharyngitis'
 'Otitis Media']",6.78125,1189
165,Amoxicillin / clarithromycin / lansoprazole,['Helicobacter Pylori Infection'],7.076923076923077,225
166,Amoxicillin / clavulanate,"['Skin or Soft Tissue Infection' 'Sinusitis' 'Bacterial Infection'
 'Otitis Media' 'Upper Respiratory Tract Infection' 'Bronchitis'
 'Strep Throat' 'Skin and Structure Infection' 'Pneumonia'
 'Urinary Tract Infection']",5.683168316831683,1960
167,Amoxil,['Skin or Soft Tissue Infection' 'Pneumonia'],9.5,52
168,Amphetamine,['ADHD'],6.1,98
169,Amphetamine / dextroamphetamine,['ADHD' 'atigue' 'Narcolepsy'],8.032,4096
170,Ampyra,['Multiple Sclerosis'],8.7,716
171,Amrix,['Muscle Spasm' 'Migraine' 'Sciatica' 'ibromyalgia'],7.666666666666667,262
172,Anacin,['Pain'],10.0,10
173,Anafranil,['Obsessive Compulsive Disorde'],9.166666666666666,1219
174,Anakinra,['Schnitzler Syndrome'],10.0,4
175,Analpram-HC,['Hemorrhoids'],10.0,20
176,Anaprox,['Tendonitis' 'Back Pain'],5.666666666666667,46
177,Anastrozole,['Breast Cance' 'Endometrial Cance'],4.942857142857143,2693
178,AndroGel,"['Hypogonadism, Male']",7.913043478260869,1569
179,Androderm,"['Hypogonadism, Male']",7.666666666666667,74
180,Angeliq,['Postmenopausal Symptoms'],9.333333333333334,190
181,Angiomax,['Percutaneous Coronary Intervention'],10.0,0
182,Anoro Ellipta,['COPD'],9.5,166
183,Ansaid,['Period Pain'],8.0,2
184,Antabuse,['Alcohol Dependence'],8.6875,1475
185,Antara,['Hypertriglyceridemia'],1.0,60
186,Anti-Diarrheal,['Diarrhea'],10.0,33
187,Antihemophilic factor,['Hemophilia A'],9.0,1
188,Antipyrine / benzocaine,['Otitis Media'],10.0,34
189,Anucort-HC,['Hemorrhoids'],5.0,10
190,Apidra,"['Diabetes, Type 2']",10.0,5
191,Apixaban,"['Pulmonary Embolism'
 'Prevention of Thromboembolism in Atrial Fibrillation'
 'Thromboembolic Stroke Prophylaxis']",5.714285714285714,350
192,Aplenzin,['Depression'],8.0,85
193,Apokyn,"[""Parkinson's Disease""]",9.0,15
194,Apomorphine,"[""Parkinson's Disease""]",7.0,24
195,Apremilast,['Psoriatic Arthritis' 'Plaque Psoriasis'],5.26,1012
196,Aprepitant,"['Nausea/Vomiting, Chemotherapy Induced']",10.0,23
197,Apri,['Birth Control' 'Polycystic Ovary Syndrome'],6.2727272727272725,453
198,Apriso,"[""Crohn's Disease"" 'Ulcerative Colitis' 'Ulcerative Colitis, Maintenance'
 'Inflammatory Bowel Disease']",6.25,24
199,Aptensio XR,['ADHD'],7.333333333333333,16
200,Aptiom,['Seizures'],6.0,24
201,Aranesp,"['Anemia, Chemotherapy Induced'
 'Anemia Associated with Chronic Renal Failure']",9.0,70
202,Arava,['Rheumatoid Arthritis'],6.833333333333333,600
203,Arcalyst,['amilial Cold Autoinflammatory Syndrome'],10.0,10
204,Arformoterol,['moterol)'],9.5,34
205,Aricept,"[""Alzheimer's Disease""]",6.4,491
206,Arimidex,"['Breast Cance' 'Breast Cancer, Metastatic']",5.5625,1507
207,Aripiprazole,"['Bipolar Disorde' 'Depression' 'Schizophrenia' 'Major Depressive Disorde'
 'Agitated State' 'Schizoaffective Disorde' 'Autism'
 'Obsessive Compulsive Disorde' 'Post Traumatic Stress Disorde'
 'Borderline Personality Disorde' ""Tourette's Syndrome""]",6.748466257668712,6235
208,Aristocort,['Allergic Reactions'],9.0,0
209,Aristocort A,['Dermatitis'],10.0,24
210,Aristospan,['Rheumatoid Arthritis'],9.0,1
211,Arixtra,['Pulmonary Embolism'],9.0,19
212,Armodafinil,"['Narcolepsy' 'Bipolar Disorde' 'Shift Work Sleep Disorde'
 'Obstructive Sleep Apnea/Hypopnea Syndrome' 'Depression' 'Hypersomnia'
 'ibromyalgia' 'Chronic Fatigue Syndrome' 'ADHD']",7.606060606060606,1486
213,Armour Thyroid,"['Underactive Thyroid' ""Hashimoto's disease"" 'TSH Suppression'
 'Hypothyroidism, After Thyroid Removal' 'Thyroid Cance']",8.0,1274
214,Arnuity Ellipta,"['Asthma, Maintenance']",8.0,11
215,Aromasin,['Breast Cance'],6.0,170
216,Artane,['Extrapyramidal Reaction'],10.0,8
217,Arthrotec,['Osteoarthritis' 'Sciatica' 'Rheumatoid Arthritis'],8.0,393
218,Asacol,"['Ulcerative Colitis' 'Ulcerative Colitis, Maintenance'
 'Lymphocytic Colitis' 'Ulcerative Colitis, Active'
 ""Crohn's Disease, Maintenance"" ""Crohn's Disease""]",8.071428571428571,310
219,Asacol HD,"['Ulcerative Colitis, Maintenance' 'Ulcerative Colitis, Active'
 'Ulcerative Colitis' ""Crohn's Disease, Maintenance""]",8.4,49
220,Ascorbic acid,['Dietary Supplementation'],1.0,1
221,Asenapine,"['Bipolar Disorde' 'Schizoaffective Disorde'
 'Post Traumatic Stress Disorde' 'Borderline Personality Disorde'
 'Schizophrenia']",6.818181818181818,1177
222,Ashlyna,['Birth Control'],4.25,20
223,Asmanex Twisthaler,"['Asthma, Maintenance']",7.75,49
224,Aspirin,['Osteoarthritis' 'Heart Attack' 'Back Pain'],9.166666666666666,95
225,Aspirin / butalbital / caffeine,['Headache' 'Migraine'],9.0,295
226,Aspirin / butalbital / caffeine / codeine,['Headache'],10.0,81
227,Aspirin / caffeine,['Pain'],10.0,3
228,Aspirin / caffeine / orphenadrine,['Muscle Spasm' 'Muscle Pain'],7.5,22
229,Aspirin / carisoprodol,['Muscle Pain' 'Muscle Spasm'],8.75,54
230,Aspirin / carisoprodol / codeine,['Muscle Spasm'],9.0,23
231,Aspirin / dipyridamole,"['Ischemic Stroke, Prophylaxis']",5.5,165
232,Aspirin / meprobamate,['Anxiety'],10.0,3
233,Aspirin / oxycodone,['Pain'],10.0,9
234,Astelin,['Allergic Rhinitis'],8.333333333333334,78
235,Astepro,['Allergic Rhinitis'],7.75,77
236,Asthmanefrin,"['Asthma, acute']",10.0,9
237,Atacand,['High Blood Pressure'],8.0,39
238,Atarax,['Anxiety' 'Sedation' 'Pruritus' 'Allergies' 'Nausea/Vomiting' 'Pain'],5.666666666666667,982
239,Atelvia,['Osteoporosis'],10.0,20
240,Atenolol,"['Anxiety' 'High Blood Pressure' 'Mitral Valve Prolapse'
 'Migraine Prevention' 'Supraventricular Tachycardia']",7.486486486486487,1536
241,Atenolol / chlorthalidone,['High Blood Pressure'],9.5,14
242,Ativan,"['Anxiety' 'Insomnia' 'Sedation' 'Panic Disorde' 'Light Anesthesia'
 'Nausea/Vomiting' 'Cervical Dystonia']",8.049382716049383,4120
243,Atomoxetine,['ADHD' 'Depression' 'Social Anxiety Disorde'],5.576470588235294,2720
244,Atorvastatin,"['High Cholesterol' 'Prevention of Cardiovascular Disease'
 'High Cholesterol, Familial Homozygous']",5.185185185185185,1549
245,Atovaquone,['Malaria'],10.0,0
246,Atovaquone / proguanil,['Malaria Prevention' 'Malaria'],5.428571428571429,86
247,Atralin,['Acne'],8.25,341
248,Atripla,['HIV Infection'],9.0,309
249,Atropine / difenoxin,"['Diarrhea, Chronic']",10.0,19
250,Atropine / diphenoxylate,['Diarrhea'],8.181818181818182,349
251,Atropine / hyoscyamine / phenobarbital / scopolamine,['Irritable Bowel Syndrome' 'Enterocolitis' 'Duodenal Ulce'],9.875,273
252,Atrovent,['Asthma'],9.0,13
253,Atrovent Nasal,['Rhinorrhea'],10.0,20
254,Aubagio,['Multiple Sclerosis'],6.4,188
255,Aubra,['Birth Control'],4.96875,74
256,Augmentin,"['Skin or Soft Tissue Infection' 'Otitis Media'
 'Upper Respiratory Tract Infection' 'Sinusitis' 'Bronchitis'
 'Urinary Tract Infection' 'Bacterial Infection' 'Strep Throat'
 'Skin and Structure Infection']",5.982142857142857,1754
257,Augmentin XR,['Sinusitis'],10.0,24
258,Avalide,['High Blood Pressure'],9.5,15
259,Avanafil,['Erectile Dysfunction'],6.090909090909091,348
260,Avandia,"['Diabetes, Type 2']",3.0,26
261,Avapro,['High Blood Pressure' 'Diabetic Kidney Disease'],7.0,285
262,Avastin,['Glioblastoma Multiforme' 'Ovarian Cance'],7.333333333333333,118
263,Aveed,"['Hypogonadism, Male']",6.0,4
264,Avelox,['Sinusitis' 'Pneumonia' 'Bronchitis' 'Bacterial Infection'],7.17948717948718,685
265,Aviane,['Birth Control' 'Abnormal Uterine Bleeding' 'Endometriosis'],6.516483516483516,716
266,Avinza,['Pain' 'Chronic Pain'],8.8,266
267,Avodart,['Benign Prostatic Hyperplasia'],7.8,461
268,Avonex,['Multiple Sclerosis'],8.0,133
269,Avonex Pen,['Multiple Sclerosis'],10.0,6
270,Axert,['Migraine'],7.4,35
271,Axid,['GERD'],10.0,5
272,Axid AR,['GERD'],10.0,5
273,Axiron,"['Hypogonadism, Male']",7.894736842105263,707
274,Ayr Saline Nasal,['Nasal Congestion'],2.3333333333333335,9
275,Azacitidine,['Myelodysplastic Syndrome'],5.75,171
276,Azathioprine,"['Autoimmune Hepatitis' ""Crohn's Disease, Acute"" 'Ulcerative Colitis'
 ""Crohn's Disease"" ""Crohn's Disease, Maintenance""
 'Systemic Lupus Erythematosus' 'Atopic Dermatitis' 'Rheumatoid Arthritis'
 'Multiple Sclerosis']",6.142857142857143,422
277,Azelaic acid,['Rosacea' 'Acne'],7.826086956521739,543
278,Azelastine,"['Allergic Rhinitis' 'Conjunctivitis, Allergic']",6.357142857142857,214
279,Azelastine / fluticasone,['Allergic Rhinitis'],6.944444444444445,177
280,Azelex,['Rosacea' 'Acne'],8.0,22
281,Azilect,"[""Parkinson's Disease""]",8.0,90
282,Azilsartan medoxomil,['High Blood Pressure'],8.2,33
283,Azilsartan medoxomil / chlorthalidone,['High Blood Pressure'],7.333333333333333,19
284,Azithromycin,"['Bronchitis' 'Sinusitis' 'Chlamydia Infection' 'Tonsillitis/Pharyngitis'
 'Otitis Media' 'Gonococcal Infection, Uncomplicated'
 'Upper Respiratory Tract Infection' 'Pneumonia' 'Bacterial Infection'
 'Mycoplasma Pneumonia' 'COPD, Acute' 'Skin or Soft Tissue Infection'
 'Lyme Disease, Erythema Chronicum Migrans']",7.204545454545454,2707
285,Azithromycin Dose Pack,"['Upper Respiratory Tract Infection' 'Sinusitis' 'Bronchitis'
 'Chlamydia Infection' 'Bacterial Infection'
 'Skin or Soft Tissue Infection']",5.545454545454546,309
286,Azo-Standard,['Dysuria'],8.0,50
287,Azopt,"['Glaucoma, Open Angle']",1.0,7
288,Azor,['High Blood Pressure'],7.923076923076923,282
289,Azurette,['Birth Control'],7.333333333333333,4
290,B & O Supprettes,['Overactive Bladde'],10.0,100
291,Bacitracin / neomycin / polymyxin b,['Bacterial Skin Infection'],10.0,0
292,Baclofen,"['Muscle Spasm' 'Alcohol Withdrawal' 'Migraine Prevention'
 'Cerebral Spasticity' 'Trigeminal Neuralgia' 'Chronic Spasticity'
 'Dystonia' 'Hiccups' 'Neuralgia' 'Cervical Dystonia']",7.3,2735
293,Bactrim,"['Urinary Tract Infection' 'Kidney Infections' 'Acne'
 'Bacterial Skin Infection' 'Bronchitis' 'Sinusitis'
 'Prevention of Bladder infection' 'Bacterial Infection' 'Prostatitis']",6.133333333333334,1600
294,Bactrim DS,"['Prevention of Bladder infection' 'Urinary Tract Infection' 'Acne'
 'Bacterial Skin Infection' 'Infection Prophylaxis' 'Bacterial Infection'
 'Prostatitis']",6.285714285714286,784
295,Bactroban,['Nasal Carriage of Staphylococcus aureus' 'Skin and Structure Infection'],8.333333333333334,68
296,Balacet,['Pain'],4.5,63
297,Balsalazide,"['Ulcerative Colitis, Active' ""Crohn's Disease"" 'Ulcerative Colitis']",9.0,49
298,Balsam peru / castor oil / trypsin,['Dermatologic Lesion'],10.0,1
299,Balziva,['Birth Control'],10.0,4
300,Banzel,['Lennox-Gastaut Syndrome'],10.0,24
301,Barium sulfate,['Computed Tomography'],6.666666666666667,49
302,Basaglar,"['Diabetes, Type 1']",4.0,7
303,Bayer Aspirin,['Heart Attack'],7.0,7
304,Bazedoxifene / conjugated estrogens,['Postmenopausal Symptoms' 'Hot Flashes'],6.0,27
305,Beclomethasone,"['Asthma, Maintenance' 'Allergic Rhinitis']",5.333333333333333,165
306,Belbuca,['Chronic Pain' 'Pain'],3.4615384615384617,307
307,Belimumab,['Systemic Lupus Erythematosus'],7.2,104
308,Belladonna / opium,['Overactive Bladde'],10.0,2
309,Belsomra,['Insomnia'],3.526315789473684,1952
310,Belviq,['Weight Loss' 'Obesity'],8.115183246073299,11488
311,Benadryl,['Allergic Reactions' 'Nausea/Vomiting' 'Insomnia'],6.5,125
312,Benadryl Allergy,['Urticaria' 'Allergic Reactions'],5.666666666666667,103
313,Benazepril,['High Blood Pressure'],3.0,32
314,Benazepril / hydrochlorothiazide,['High Blood Pressure'],5.0,3
315,Benicar,['High Blood Pressure'],8.24,1159
316,Benicar HCT,['High Blood Pressure'],7.333333333333333,97
317,Benlysta,['Systemic Lupus Erythematosus'],7.0,62
318,Bensal HP,['Dermatological Disorders'],10.0,39
319,Bentyl,['Irritable Bowel Syndrome'],7.526315789473684,819
320,BenzEFoam,['Acne'],10.0,17
321,BenzEFoam Ultra,['Acne'],10.0,7
322,Benzaclin,['Acne'],8.833333333333334,133
323,Benzocaine,"['Burns, External' 'Cold Sores' 'Oral and Dental Conditions' 'Pruritus'
 'Aphthous Ulce']",7.333333333333333,33
324,Benzoic acid / salicylic acid,['Dermatological Disorders'],10.0,10
325,Benzonatate,['Cough'],4.704225352112676,1413
326,Benzoyl peroxide,['Acne'],7.25,45
327,Benzoyl peroxide / clindamycin,['Acne'],8.425531914893616,1168
328,Benzoyl peroxide / erythromycin,['Acne'],7.6,75
329,Benzoyl peroxide / sulfur,['Acne'],10.0,3
330,Benzphetamine,['Obesity'],9.666666666666666,84
331,Benztropine,['Extrapyramidal Reaction'],5.0,9
332,Bepotastine,"['Conjunctivitis, Allergic']",10.0,19
333,Bepreve,"['Conjunctivitis, Allergic']",10.0,8
334,Berinert,['Hereditary Angioedema'],10.0,0
335,Betamethasone,['Inflammatory Conditions' 'Atopic Dermatitis' 'Plaque Psoriasis'],8.0,47
336,Betamethasone / calcipotriene,['Psoriasis' 'Plaque Psoriasis'],7.0625,146
337,Betapace,['Ventricular Arrhythmia'],5.0,5
338,Betaseron,['Multiple Sclerosis'],8.0,47
339,Bethanechol,['Urinary Retention'],10.0,26
340,Bevacizumab,"['me' 'Glioblastoma Multi' 'Breast Cancer, Metastatic']",9.666666666666666,72
341,Bextra,['Pain' 'Osteoarthritis'],9.666666666666666,9
342,Beyaz,['Acne' 'Birth Control' 'Premenstrual Dysphoric Disorde'],6.333333333333333,435
343,Biaxin,"['Sinusitis' 'Bronchitis' 'Strep Throat' 'Pneumonia' 'Dental Abscess'
 'Helicobacter Pylori Infection']",5.9523809523809526,584
344,Biaxin XL,['Pneumonia' 'Bronchitis'],7.0,36
